Animal_ID,Species,Breed,Gender,Date_of_Birth,Current_Weight_kg,Daily_Feed_Intake_kg,Last_Vet_Visit_Date,Health_Status,Medication_Administered,Breeding_Status,Last_Breeding_Date,Number_of_Offspring
ANM_0142,Chicken,Leghorn,Female,2020-08-13,5.29,0.28,2025-06-26,Healthy,,Not Bred,,0
ANM_0143,Chicken,Rhode Island Red,Male,2024-07-09,1.26,0.07,2025-06-26,Healthy,,Not Bred,,0
ANM_0144,Pig,Large White,Female,2025-04-08,15.76,0.81,2025-06-26,Healthy,,Pregnant,2025-02-16,0
ANM_0145,Goat,Jamunapari,Female,2023-10-09,22.04,0.65,2025-06-26,Healthy,,Lactating,2024-10-11,4
ANM_0146,Chicken,Broiler,Female,2020-10-04,5.41,0.28,2025-06-26,Mild Illness,Antibiotic,Not Bred,,0
ANM_0147,Cattle,Jersey,Female,2023-12-17,269.74,5.88,2025-06-26,Mild Illness,Anti-parasitic,Not Bred,,0
ANM_0148,Sheep,Deccani,Male,2020-10-12,56.21,1.67,2025-06-26,Healthy,,Not Bred,,0
ANM_0149,Cattle,Gir,Female,2023-03-07,245.23,4.82,2025-06-26,Healthy,,Not Bred,,0
ANM_0150,Goat,Jamunapari,Male,2023-04-03,27.12,0.71,2025-06-26,Mild Illness,Antibiotic,Not Bred,,0
ANM_0151,Sheep,Deccani,Male,2021-05-12,39.04,1.08,2025-06-26,Healthy,,Not Bred,,0
ANM_0152,Goat,Black Bengal,Male,2020-09-22,60.01,1.7,2025-06-26,Healthy,,Not Bred,,0
ANM_0153,Sheep,Suffolk,Female,2024-11-22,11.08,0.38,2025-06-26,Healthy,,Not Bred,,0
ANM_0154,Cattle,Holstein Friesian,Male,2022-10-23,348.4,7.02,2025-06-26,Healthy,,Not Bred,,0
ANM_0155,Cattle,Sahiwal,Female,2023-12-10,238.35,4.67,2025-06-26,Mild Illness,Antibiotic,Not Bred,,0
ANM_0156,Sheep,Dorper,Female,2025-02-14,2.0,0.1,2025-06-26,Healthy,,Not Bred,,0
ANM_0157,Goat,Sirohi,Female,2025-03-16,2.0,0.17,2025-06-26,Healthy,,Pregnant,2024-07-05,0
ANM_0158,Pig,Duroc,Female,2021-01-10,198.73,7.79,2025-06-26,Healthy,,Pregnant,2025-04-13,0
ANM_0159,Goat,Beetal,Female,2021-11-19,42.9,1.1,2025-06-26,Healthy,,Not Bred,,0
ANM_0160,Goat,Black Bengal,Male,2022-06-08,39.88,1.31,2025-06-26,Healthy,,Not Bred,,0
ANM_0161,Cattle,Jersey,Female,2025-05-28,87.48,1.73,2025-06-26,Serious Illness,Antibiotic,Not Bred,,0
ANM_0162,Sheep,Merino,Female,2022-04-17,38.82,1.13,2025-06-26,Healthy,,Not Bred,,0
ANM_0163,Goat,Black Bengal,Female,2020-08-22,61.12,1.8,2025-06-26,Healthy,,Pregnant,2024-07-27,0
ANM_0164,Sheep,Merino,Female,2020-12-15,63.71,1.92,2025-06-26,Healthy,,Lactating,2024-10-17,2
ANM_0165,Sheep,Nali,Female,2021-03-24,53.99,1.75,2025-06-26,Healthy,,Lactating,2024-07-08,5
ANM_0166,Sheep,Suffolk,Female,2024-08-21,12.96,0.36,2025-06-26,Healthy,,Bred,2024-11-01,0
ANM_0167,Sheep,Deccani,Female,2022-02-25,30.07,0.93,2025-06-26,Healthy,,Not Bred,,0
ANM_0168,Cattle,Holstein Friesian,Male,2021-08-25,472.36,9.16,2025-06-26,Healthy,,Not Bred,,0
ANM_0169,Sheep,Suffolk,Male,2024-11-18,17.65,0.6,2025-06-26,Serious Illness,Antibiotic,Not Bred,,0
ANM_0170,Chicken,Plymouth Rock,Male,2020-11-20,5.01,0.24,2025-06-26,Healthy,,Not Bred,,0
ANM_0171,Cattle,Ongole,Male,2020-11-22,516.51,9.83,2025-06-26,Healthy,,Not Bred,,0
ANM_0172,Chicken,Broiler,Male,2022-07-01,3.05,0.16,2025-06-26,Healthy,,Not Bred,,0
ANM_0173,Sheep,Dorper,Female,2020-12-11,54.25,1.56,2025-06-26,Healthy,,Pregnant,2024-09-29,0
ANM_0174,Pig,Yorkshire,Male,2023-03-26,120.44,4.56,2025-06-26,Healthy,,Not Bred,,0
ANM_0175,Sheep,Suffolk,Male,2021-03-09,48.38,1.43,2025-06-26,Healthy,,Not Bred,,0
ANM_0176,Cattle,Gir,Male,2022-07-27,353.37,6.87,2025-06-26,Healthy,,Not Bred,,0
ANM_0177,Sheep,Merino,Male,2020-07-19,55.54,1.49,2025-06-26,Healthy,,Not Bred,,0
ANM_0178,Goat,Jamunapari,Female,2021-12-11,40.42,1.24,2025-06-26,Mild Illness,Antibiotic,Not Bred,,0
ANM_0179,Goat,Tellicherry,Male,2020-11-09,49.53,1.57,2025-06-26,Healthy,,Not Bred,,0
ANM_0180,Goat,Beetal,Female,2023-08-13,14.04,0.59,2025-06-26,Healthy,,Pregnant,2024-08-31,0
ANM_0181,Cattle,Gir,Male,2021-01-10,435.49,7.74,2025-06-26,Healthy,,Not Bred,,0
ANM_0182,Pig,Large White,Female,2024-08-08,69.12,3.02,2025-06-26,Healthy,,Lactating,2025-06-11,1
ANM_0183,Cattle,Jersey,Female,2023-11-06,244.7,5.38,2025-06-26,Healthy,,Bred,2025-05-17,0
ANM_0184,Goat,Tellicherry,Male,2023-06-27,38.03,1.19,2025-06-26,Healthy,,Not Bred,,0
ANM_0185,Pig,Yorkshire,Male,2023-06-14,103.52,4.0,2025-06-26,Healthy,,Not Bred,,0
ANM_0186,Pig,Duroc,Male,2024-01-24,63.55,2.23,2025-06-26,Serious Illness,Pain Reliever,Not Bred,,0
ANM_0187,Cattle,Sahiwal,Male,2022-10-08,359.17,7.32,2025-06-26,Healthy,,Not Bred,,0
ANM_0188,Chicken,Native,Male,2021-07-30,4.28,0.2,2025-06-26,Serious Illness,Anti-parasitic,Not Bred,,0
ANM_0189,Goat,Sirohi,Female,2021-09-29,39.0,0.83,2025-06-26,Healthy,,Pregnant,2024-11-11,0
ANM_0190,Pig,Duroc,Male,2023-02-18,124.04,5.05,2025-06-26,Healthy,,Not Bred,,0
ANM_0191,Chicken,Broiler,Female,2021-03-16,3.98,0.2,2025-06-26,Healthy,,Not Bred,,0
ANM_0192,Pig,Landrace,Female,2022-12-26,161.01,6.21,2025-06-26,Healthy,,Pregnant,2025-06-16,0
ANM_0193,Cattle,Gir,Female,2025-04-27,20.0,1.45,2025-06-26,Healthy,,Lactating,2025-01-30,2
ANM_0194,Goat,Black Bengal,Female,2022-02-10,35.86,1.06,2025-06-26,Healthy,,Not Bred,,0
ANM_0195,Cattle,Holstein Friesian,Male,2022-12-26,381.24,8.62,2025-06-26,Healthy,,Not Bred,,0
ANM_0196,Goat,Tellicherry,Male,2024-07-04,18.56,0.5,2025-06-26,Healthy,,Not Bred,,0
ANM_0197,Cattle,Holstein Friesian,Female,2025-05-07,41.16,1.0,2025-06-26,Healthy,,Bred,2024-08-26,0
ANM_0198,Sheep,Deccani,Male,2020-06-29,47.33,1.52,2025-06-26,Healthy,,Not Bred,,0
ANM_0199,Goat,Black Bengal,Male,2024-04-22,18.41,0.46,2025-06-26,Healthy,,Not Bred,,0
ANM_0200,Pig,Landrace,Male,2023-01-03,111.61,4.34,2025-06-26,Healthy,,Not Bred,,0
ANM_0201,Sheep,Dorper,Female,2025-04-17,6.53,0.14,2025-06-26,Healthy,,Not Bred,,0
ANM_0202,Sheep,Dorper,Female,2024-04-04,18.13,0.62,2025-06-26,Healthy,,Not Bred,,0
ANM_0203,Cattle,Gir,Male,2024-08-31,129.56,2.95,2025-06-26,Healthy,,Not Bred,,0
ANM_0204,Goat,Beetal,Male,2020-09-13,52.42,1.42,2025-06-26,Healthy,,Not Bred,,0
ANM_0205,Chicken,Native,Male,2025-01-06,0.49,0.02,2025-06-26,Healthy,,Not Bred,,0
ANM_0206,Sheep,Merino,Male,2021-05-03,35.02,1.18,2025-06-26,Healthy,,Not Bred,,0
ANM_0207,Chicken,Native,Male,2025-06-12,0.1,0.02,2025-06-26,Healthy,,Not Bred,,0
ANM_0208,Sheep,Dorper,Female,2025-02-01,7.07,0.36,2025-06-26,Healthy,,Lactating,2024-11-15,3
ANM_0209,Chicken,Broiler,Female,2025-02-18,0.43,0.01,2025-06-26,Healthy,,Not Bred,,0
ANM_0210,Cattle,Sahiwal,Female,2023-04-03,271.79,4.82,2025-06-26,Healthy,,Lactating,2024-10-15,1
ANM_0211,Cattle,Holstein Friesian,Female,2020-08-01,541.27,10.47,2025-06-26,Healthy,,Lactating,2025-05-23,2
ANM_0212,Cattle,Jersey,Male,2024-08-27,147.37,2.0,2025-06-26,Healthy,,Not Bred,,0
ANM_0213,Pig,Duroc,Male,2023-06-29,101.63,4.2,2025-06-26,Serious Illness,Vaccine,Not Bred,,0
ANM_0214,Goat,Beetal,Male,2024-06-15,21.45,0.62,2025-06-26,Healthy,,Not Bred,,0
ANM_0215,Sheep,Merino,Female,2023-11-03,25.96,0.77,2025-06-26,Healthy,,Bred,2024-10-23,0
ANM_0216,Chicken,Rhode Island Red,Male,2024-08-19,1.24,0.07,2025-06-26,Healthy,,Not Bred,,0
ANM_0217,Sheep,Nali,Female,2021-03-07,46.85,1.36,2025-06-26,Healthy,,Not Bred,,0
ANM_0218,Goat,Tellicherry,Male,2024-05-06,14.69,0.29,2025-06-26,Healthy,,Not Bred,,0
ANM_0219,Goat,Black Bengal,Female,2021-04-03,47.82,1.36,2025-06-26,Healthy,,Pregnant,2025-05-31,0
ANM_0220,Sheep,Merino,Male,2021-10-15,40.57,1.34,2025-06-26,Healthy,,Not Bred,,0
ANM_0221,Cattle,Sahiwal,Male,2024-11-03,164.39,2.89,2025-06-26,Mild Illness,Anti-parasitic,Not Bred,,0
ANM_0222,Sheep,Deccani,Male,2021-10-30,48.36,1.3,2025-06-26,Healthy,,Not Bred,,0
ANM_0223,Chicken,Leghorn,Male,2025-01-03,0.14,0.01,2025-06-26,Serious Illness,Anti-parasitic,Not Bred,,0
ANM_0224,Goat,Tellicherry,Female,2021-10-09,53.95,1.73,2025-06-26,Serious Illness,Anti-parasitic,Bred,2024-09-06,0
ANM_0225,Pig,Large White,Female,2023-05-09,105.78,4.12,2025-06-26,Healthy,,Not Bred,,0
ANM_0226,Cattle,Gir,Female,2024-02-28,178.86,3.58,2025-06-26,Healthy,,Pregnant,2024-08-31,0
ANM_0227,Pig,Large White,Male,2021-08-05,225.94,9.07,2025-06-26,Healthy,,Not Bred,,0
ANM_0228,Chicken,Leghorn,Female,2021-11-12,4.18,0.2,2025-06-26,Healthy,,Not Bred,,0
ANM_0229,Goat,Black Bengal,Male,2023-08-22,21.24,0.65,2025-06-26,Healthy,,Not Bred,,0
